gene	selected_in_folds
P2RY10	22
SLC38A4	20
GJB2	20
CHRNA9	18
SLC6A14	16
RORA	15
ADRB2	14
ITPR2	14
GABBR1	12
CNGA1	12
SLC38A1	1
NR3C2	1
