Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TRAV13-1	88.7396	72.4812	40.5597	463.198	537.61	881.563	411.162	707.25	138.695	76.9947	42.452	28.3149	29.721	23.4878	37.7774	12.2576	32.4527	36.2343	66.138	35.7585	29.2624	74.9986
TRAV13-2	72.6907	67.1892	68.6619	369.279	411.162	639.804	201.532	381.334	191.406	38.5487	44.3507	55.6473	56.8554	51.0243	35.7949	39.1214	41.2166	67.136	25.9333	33.8367	55.6292	88.048
TRAV21	119.891	65.2532	125.133	439.358	417.505	765.298	157.589	463.357	2763.36	49.0813	55.8764	46.6365	51.316	42.9607	31.469	36.2384	52.0273	17.8586	79.4658	72.0601	196.235	88.25
TRAV8-6	24.5565	22.1433	18.8104	244.113	317.791	396.12	172.84	439.229	676.135	22.6665	18.3022	15.4029	34.3943	25.3093	19.1957	13.1992	24.1687	22.7654	22.7394	36.6415	23.4379	65.3932
TRAV9-2	60.4387	91.3923	39.2061	220.374	498.457	911.838	448.874	656.983	1958.9	113.995	56.1704	22.0927	47.7769	27.2867	23.5209	17.6632	27.7388	33.5472	14.885	38.638	102.812	130.918
TRBC1	575.848	930.329	525.049	8923.92	12460.7	10179.8	3287.84	16623.7	19876.2	5338.32	4520.51	2812.59	78.9432	56.8336	223.496	131.1	189.121	145.715	114.602	47.8713	551.51	181.012
TRDC	88.1785	81.155	101.067	3014.58	282.01	781.332	486.879	370.275	124.653	17980.4	10797.2	11382	61.018	30.124	22.3187	24.2665	46.642	30.4226	247.353	209.018	165.851	162.123
TREM1	415.23	236.637	211.105	102.286	116.836	67.4989	71.2657	101.484	66.5003	574.869	79.8574	95.7575	1775.19	603.886	194.725	184.65	222.637	317.785	285.398	685.707	377.959	8433.29
TREM2	17.0079	11.9955	19.3205	16.1851	14.8817	16.9301	12.7667	14.9579	101.075	14.1959	13.8047	14.6855	24.2386	2158.63	160.832	3999.02	6016.86	928.151	391.285	611.705	16.0438	24.6519
TREML2	70.5382	20.851	42.3556	23.099	50.8782	18.7834	52.4136	57.3557	59.6892	35.8793	55.0192	123.328	40.7289	27.3324	32.0205	32.6085	32.7416	27.3279	101.968	38.8856	577.253	1082.74
