name	ID	mz	rt	ppm	formula	KEGG	Rosacea_Mean	Rosacea_Median	Rosacea_RSD	control_Mean	control_Median	control_RSD	FC	log2FC	P.value	-log10(P.value)	FDR	VIP	posneg	Class
Uracil	M113T183	113.0344	183.4	1.02075880440313	C4H4N2O2	C00106	42255597.7	40002760.8	21.17	33407781.61	30984972.1	24.07	1.26	0.34	0.00249209007704068	2.6	0.00783214148715131	1.19155264994054	pos	Pyrimidines and pyrimidine derivatives
GMP	M363T84_1	362.9233	83.6	9.61175564651803	C10H14N5O8P	C00144	11418963565.27	486661124.7	131.98	229530695.31	240597663.15	27.74	49.75	5.64	0.000567039037627726	3.25	0.00239709761171571	1.1902319735522	pos	Purine ribonucleotides
3,4-Methylenedioxyamphetamine	M194T521_2	194.1148	521.4	3.58785687123032	C11H15NO2	C07577	35592125.92	24998659.69	103.88	13910949.55	13621478.25	17.94	2.56	1.36	0.000677143269521144	3.17	0.00277207718781687	1.18790601750231	pos	NA
Galactitol	M163T104	163.0609	103.8	1.77847663055205	C6H14O6	C01697	7809441.19	7883239.52	26.11	6016524.32	5418221.3	28.61	1.3	0.38	0.0151459321051446	1.82	0.0550536060715612	1.1865923377264	neg	Carbohydrates and carbohydrate conjugates
Epiandrosterone	M289T91	288.9517	91.3	2.83089946517216	C19H30O2	C07635	36450345.26	36749558.86	22.69	27669422.4	30000042.95	30.23	1.32	0.4	0.0240982399868469	1.62	0.0769732952904726	1.18409636839404	neg	Androstane steroids
cis-4-Hydroxy-D-proline	M132T62	131.9728	62	11.7446593994201	C5H9NO3	C03440	57370653.75	49016009.06	59.75	26913941.05	27572720.81	20.19	2.13	1.09	0.000818407545345153	3.09	0.00321543412022479	1.1834539734849	pos	Amino acids, peptides, and analogues
3beta,5beta-Ketotriol	M433T714_1	433.311	714.1	7.84110968112112	C27H44O4	C16494	366636603.93	33345302.39	384.99	8610919.25	7376917.11	83.37	42.58	5.41	0.00144975741569618	2.84	0.0050757763522437	1.17775375205297	pos	NA
Niacinamide	M123T147	123.055	147.2	2.2428995164723	C6H6N2O	C00153	23033796.05	20544211.62	58.2	12094000.4	12726439.9	26.79	1.9	0.93	0.0017664720063699	2.75	0.0059619373440105	1.1561469634354	pos	Pyridinecarboxylic acids and derivatives
(3S,5S)-3,5-Diaminohexanoate	M129T430	129.1019	430.4	29.6983534982769	C6H14N2O2	C01186	20530068.75	21098529.71	19.29	16765835.07	16280000.59	12.4	1.22	0.29	0.00168973288917983	2.77	0.00575456015405595	1.15539915600998	pos	Amines
(S)-5-Amino-3-oxohexanoate	M146T169	146.0813	169.2	0.848843111720082	C6H11NO3	C03656	33674240.78	18801045.96	108.31	8019812.12	8318142.97	84.27	4.2	2.07	0.00458523607066272	2.34	0.0127473434884962	1.14869275383624	pos	Amines
R-Salbutamol	M222T652	222.146	652.2	6.00505973542506	C13H21NO3	C11770	72012670.44	31198235.38	126.3	19758643.76	20291425.27	8.12	3.64	1.87	0.000925220610810566	3.03	0.00353489750774385	1.14852479533673	pos	NA
3-Hydroxymethylglutaric acid	M145T93	145.0491	92.6	25.7430070231981	C6H10O5	C03761	20906252.65	21009407.87	22.57	25554922.26	25986456.59	13.74	0.82	-0.29	0.00335733968511871	2.47	0.00992380877370855	1.14427496913947	pos	Fatty acids and conjugates
Methyl (indol-3-yl)acetate	M189T657	189.078	657.1	5.28882260233753	C11H11NO2	C20635	3395335.76	1213839.03	229.11	10651624.17	3953620.69	217.73	0.32	-1.65	0.00323250487105557	2.49	0.00963979189310342	1.14068895239742	pos	NA
N-Acetyl-L-2-amino-6-oxopimelate	M231T144	231.0966	144.1	1.10434332230428	C9H13NO6	C05539	9387555.26	8078782.28	30.81	6018919.06	7590115.67	77.72	1.56	0.64	0.0237457945657558	1.62	0.0491108385426465	1.1350963927728	pos	NA
D-Tryptophan	M203T367	203.0823	366.9	1.59541230331845	C11H12N2O2	C00525	318687598.35	319655000.7	18.4	371384624.98	361369400.25	16.28	0.86	-0.22	0.0152095104936221	1.82	0.0551944695279975	1.13034823696424	neg	Indolyl carboxylic acids and derivatives
Miglitol	M207T375	207.1099	374.6	1.09741897895822	C8H17NO5	C07708	16441251.16	15060903.8	34.46	11125821.59	10729434.64	35.25	1.48	0.56	0.0039836521280954	2.4	0.0113791885264215	1.1245043277678	pos	NA
10-Hydroxydecanoic acid	M187T616	187.1336	616	1.73138335395786	C10H20O3	C02774	15968967.15	15138438.78	47.18	10903233.08	10731716.68	45.5	1.46	0.55	0.0195232095280789	1.71	0.0664047973239605	1.12235543688712	neg	NA
2-Isopropylmalic acid	M175T97_2	175.0609	97.1	1.71368935044867	C7H12O5	C02504	3159799.89	3020928.68	33.78	2363332.26	2036649.3	59.26	1.34	0.42	0.020229809922543	1.69	0.0682168009015986	1.11464344501613	neg	Fatty acids and conjugates
Guanidoacetic acid	M117T633	116.9275	632.7	1.8018598447281	C3H7N3O2	C00581	25781667.81	15580692.23	80.55	12640947.14	14571388.71	64.49	2.04	1.03	0.0158564788557293	1.8	0.0567701094834752	1.10771935755331	neg	Amino acids, peptides, and analogues
3-Succinoylpyridine	M179T545	179.0634	544.8	28.7989567103748	C9H9NO3	C19569	2717379.26	1567536.62	104.93	4446300.84	4537882.78	28.36	0.61	-0.71	0.00140989007974683	2.85	0.00497745376232335	1.1050671770758	pos	Gamma-keto acids and derivatives
Prunasin	M295T105	295.1024	104.9	10.8435759944662	C14H17NO6	C00844	2674398.37	2472432.88	49.1	1642595.4	1615788.82	33.48	1.63	0.7	0.0213486072617303	1.67	0.0709139494201897	1.09828471083004	neg	Alcohols and polyols
L-Phenylalanine	M164T311	164.0701	310.6	2.91829188256734	C9H11NO2	C00079	233837282.17	238878361.75	18.22	274251830.34	267606771	16.14	0.85	-0.23	0.0155398117623229	1.81	0.0559153582478481	1.09412617958141	neg	Amino acids, peptides, and analogues
Benzamide	M122T338	122.0579	338.2	17.8276047678316	C7H7NO	C09815	9516943.36	4889964.96	176.33	1831527.82	1373309.69	83.48	5.2	2.38	0.00680936598214877	2.17	0.0176918121094894	1.093602821108	pos	Benzoic acids and derivatives
3-Hydroxybenzyl alcohol glucoside	M125T655	125.0595	654.8	1.40733011083668	C7H8O2	C03351	1524872.97	1210193.35	84.42	4303438.4	2072752.08	115.02	0.35	-1.5	0.00479000922609042	2.32	0.0132513525543909	1.09070266876821	pos	Carbohydrates and carbohydrate conjugates
Melibiose	M325T92	325.1114	92.3	8.10183832372679	C12H22O11	C05400	65063935.08	24280300.4	149.31	13457555.5	12911314.95	27.44	4.83	2.27	0.00208142555308559	2.68	0.00680031432503955	1.0898819624864	pos	Carbohydrates and carbohydrate conjugates
Glycerophosphocholine	M258T118	258.109	118.1	2.91185474755242	C8H21NO6P	C00670	1818357793.64	1294967248	101.4	216454031.75	155027194.55	133.68	8.4	3.07	0.00584056641560314	2.23	0.0156005122547939	1.08266161803891	pos	Glycerophosphocholines
N-Acetyl-D-glucosamine	M204T94	204.0862	93.8	18.2961905311586	C8H15NO6	C00140	10315761.9	10375372.63	22	12529515.36	12385231.3	14.63	0.82	-0.28	0.00513730589341352	2.29	0.0140449321328236	1.08079780555218	pos	Carbohydrates and carbohydrate conjugates
Asymmetric dimethylarginine	M203T98	203.1496	98.3	1.33805910519283	C8H18N4O2	C03626	22014691.5	21728236.24	15.59	18553084.47	18302429.95	18.09	1.19	0.25	0.00660941750917491	2.18	0.0172403459029353	1.06106788762597	pos	Amino acids, peptides, and analogues
N-Acetylhistidine	M198T187	198.0868	187.3	2.40298697334667	C8H11N3O3	C02997	5561085.93	4616747.3	68.47	8874128.81	7762605.83	53.85	0.63	-0.67	0.00788097314732533	2.1	0.0199703556244443	1.04989532092351	pos	Amino acids, peptides, and analogues
5,6-Dihydro-5-fluorouracil	M133T134	133.0315	133.9	1.95569736485703	C4H5FN2O2	C16630	8934055.89	7823458.13	54.85	14388292.68	12128602.2	59.24	0.62	-0.69	0.00993658152715672	2	0.0240898835980562	1.04550849013673	pos	Pyrimidines and pyrimidine derivatives
Aminomalonic acid	M119T121	119.0159	121.3	4.22580880372919	C3H5NO4	C00872	101107853.95	35096408.51	124.38	13862248.21	12520210.82	57.22	7.29	2.87	0.00309206098212043	2.51	0.00930680907418418	1.03813411795459	pos	Amino acids, peptides, and analogues
ADP	M426T96	426.0199	96.4	4.62337584458475	C10H15N5O10P2	C00008	3353646.48	1625014.88	99.28	7629910.12	6535471.78	82.51	0.44	-1.19	0.0323031121887045	1.49	0.0953792644084368	1.03642428146508	neg	Purine ribonucleotides
5-Aminopentanoic acid	M117T61	116.9274	60.8	0.0038375521851957	C5H11NO2	C00431	27618289.85	17432594.9	77.67	15378741.82	17841583.07	48.97	1.8	0.84	0.032352433047223	1.49	0.0954403929345322	1.03026077633265	neg	Amino acids, peptides, and analogues
Ketoleucine	M129T336	129.0552	335.6	4.01518110080227	C6H10O3	C00233	220599312.39	202268811.55	46.58	158074677.06	160954625.25	19.51	1.4	0.48	0.0178693136388375	1.75	0.0623044024940127	1.02819694183624	neg	Short-chain keto acids and derivatives
Pentylenetetrazole	M138T338	138.0911	338.3	1.67923813324958	C6H10N4	C13692	3144182.09	2423822.88	95.97	5452771.44	5477081.41	28.23	0.58	-0.79	0.00285161954842102	2.54	0.00873958341818248	1.02559085521278	pos	NA
Isophorone	M139T715	139.1115	715	1.73291208835937	C9H14O	C14743	552159096.91	51197310.15	342.32	33459568.93	32573344.66	14.48	16.5	4.04	0.00428282223329219	2.37	0.0120593650980904	1.02026114675009	pos	Ketones
Oxoglutaric acid	M146T75_2	146.0294	75.3	2.95655057129091	C5H6O5	C00026	50339901.46	50065168.53	17.41	57128215.45	56964957	7.94	0.88	-0.18	0.00473601713728255	2.32	0.0131249636624586	1.00608257246496	pos	Gamma-keto acids and derivatives
Epipregnanolone	M319T63	319.2653	62.7	4.64619339472353	C21H34O2	C11825	5808348.72	2327033.37	127.61	9342624.2	6569179.98	109.77	0.62	-0.69	0.00430702596587124	2.37	0.0121059452708462	1.00466544493573	pos	Pregnane steroids
