Figure 1f
Keratinocytes
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
89.279690000000002	97.552719999999994	94.640370000000004	86.815700000000007	95.613820000000004	95.060299999999998	81.662949999999995	88.763099999999994	91.652699999999996	65.88391	59.801699999999997	91.236879999999999	48.060490000000001	27.543369999999999	56.085920000000002	84.602860000000007	96.16516	87.972290000000001	81.421899999999994	78.048779999999994	79.206370000000007
Fibroblasts
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
2.842689	4.5110999999999998E-2	0.208817	5.0871329999999997	0.75961800000000002	1.3216589999999999	4.7958429999999996	0.101386	0.11733200000000001	12.189970000000001	16.572240000000001	2.282063	6.232742	8.9098310000000005	3.3015119999999998	0.46516999999999997	0.110267	1.2468509999999999	1.833593	0.69366700000000003	1.9485140000000001
Endothelial cells
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
0.65044599999999997	2.2556E-2	0.48723899999999998	0.26403799999999999	9.8015000000000005E-2	6.6083000000000003E-2	0.63845600000000002	0.20277100000000001	0.40228000000000003	1.253298	1.954674	0.21299299999999999	2.7613409999999998	4.4763330000000003	2.7446299999999999	0.16281000000000001	0.110267	0.42821199999999998	1.1589689999999999	10.18125	1.2658229999999999
T cells
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
2.50542	0.20300000000000001	1.4849190000000001	3.3092769999999998	0.49007600000000001	0.95820300000000003	7.6614699999999996	6.5562690000000003	3.0841430000000001	7.9947229999999996	12.209630000000001	2.4037730000000002	29.756740000000001	50.074959999999997	28.891539999999999	7.559018	2.021563	2.3299750000000001	9.9290780000000005	4.4528980000000002	11.66264
Macrophages/DC cells
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
0.74680800000000003	1.0826659999999999	1.3457079999999999	0.68649899999999997	1.1516789999999999	0.56170500000000001	0.445434	2.500845	2.2795839999999998	1.939314	1.274788	1.871292	2.1433270000000002	1.9061900000000001	2.0418989999999999	1.5350619999999999	1.0414110000000001	1.2342569999999999	2.1103619999999998	2.2376369999999999	1.1520410000000001
Mast cells
HS			ETR_N			ETR_L			PPR_N			PPR_L			PhR_N			PhR_L
0.26499600000000001	0	0	0.51047399999999998	0	8.2603999999999997E-2	0.35634700000000002	1.6898E-2	0.335233	0.145119	0	0	9.2045000000000002E-2	0.38552199999999998	0	2.488661	0	0.11335000000000001	0.27676899999999999	4.4753000000000001E-2	5.6890999999999997E-2
